t,Always Explain_mean,Always Explain_std,Always Update_mean,Always Update_std,Always Silent_mean,Always Silent_std,Random_mean,Random_std,Adaptive (TS)_mean,Adaptive (TS)_std
0,0.6500000000000002,0.4,0.48333333333333317,0.498887651569859,0.36666666666666664,0.48189440982669857,0.4966666666666665,0.48886489840127495,0.5966666666666666,0.45733527696379983
1,0.7500000000000001,0.3,0.5833333333333329,0.48189440982669873,0.3333333333333333,0.4714045207910316,0.5299999999999998,0.4775981574503822,0.6016666666666666,0.46502389424869583
2,0.6500000000000001,0.40000000000000013,0.6499999999999997,0.45825756949558394,0.26666666666666666,0.44221663871405337,0.5416666666666665,0.4278012259085858,0.6049999999999999,0.444662793586331
3,0.8166666666666669,0.17950549357115006,0.5833333333333331,0.4818944098266985,0.23333333333333334,0.4229525846816506,0.5483333333333332,0.4403565474577264,0.5799999999999998,0.46879277582602163
4,0.7166666666666669,0.33993463423951903,0.683333333333333,0.44221663871405337,0.26666666666666666,0.44221663871405315,0.48166666666666647,0.47337147733630464,0.4816666666666664,0.47984083009079403
5,0.65,0.4,0.41666666666666635,0.49888765156985876,0.43333333333333335,0.49553562491061676,0.6266666666666666,0.42519276674102635,0.5149999999999998,0.48736536602430003
6,0.6500000000000001,0.4000000000000001,0.5499999999999997,0.48989794855663554,0.36666666666666664,0.48189440982669857,0.5066666666666665,0.45547289222911563,0.4766666666666665,0.4650686926561376
7,0.7166666666666668,0.33993463423951914,0.5166666666666664,0.49553562491061676,0.43333333333333335,0.49553562491061676,0.315,0.4442503048207545,0.5983333333333333,0.45561009158660604
8,0.7833333333333335,0.24944382578492952,0.5499999999999997,0.4898979485566356,0.43333333333333335,0.49553562491061676,0.5999999999999999,0.44851607180419595,0.6333333333333332,0.45043189150956986
9,0.65,0.4000000000000001,0.5166666666666664,0.49553562491061676,0.3333333333333333,0.4714045207910317,0.4933333333333332,0.45106047882246975,0.5049999999999998,0.47123065831218297
10,0.7833333333333335,0.24944382578492943,0.5499999999999996,0.48989794855663554,0.3,0.4582575694955839,0.7566666666666667,0.32086688136290337,0.6466666666666665,0.4518357617050199
11,0.7166666666666669,0.339934634239519,0.7166666666666663,0.4229525846816507,0.2,0.4,0.5416666666666664,0.46207563113508693,0.6299999999999997,0.43714985988788785
12,0.7500000000000002,0.30000000000000004,0.5166666666666663,0.49553562491061687,0.3,0.45825756949558394,0.3966666666666666,0.4743299367411768,0.5716666666666665,0.46934055392172924
13,0.7166666666666668,0.33993463423951914,0.6166666666666665,0.4714045207910319,0.3333333333333333,0.4714045207910316,0.4549999999999999,0.4782520256099288,0.5433333333333331,0.46667857127672874
14,0.7500000000000001,0.3,0.6166666666666661,0.47140452079103173,0.43333333333333335,0.49553562491061676,0.5283333333333331,0.47603979758932846,0.6049999999999998,0.4489524844939977
15,0.6833333333333335,0.3726779962499649,0.5833333333333329,0.48189440982669873,0.2,0.4,0.4383333333333332,0.45692510935114466,0.5666666666666665,0.46553434054022497
16,0.6166666666666667,0.42295258468165065,0.7166666666666663,0.4229525846816507,0.26666666666666666,0.4422166387140532,0.5616666666666666,0.45910843550903696,0.4399999999999998,0.47668997612004954
17,0.7833333333333335,0.24944382578492943,0.5833333333333329,0.48189440982669873,0.43333333333333335,0.49553562491061676,0.5083333333333332,0.4679891974061889,0.6283333333333333,0.4208490096090151
18,0.5499999999999997,0.45825756949558394,0.6166666666666665,0.47140452079103184,0.26666666666666666,0.4422166387140533,0.5116666666666665,0.46308446553757576,0.3783333333333333,0.4959306627162936
19,0.6500000000000001,0.4000000000000001,0.683333333333333,0.4422166387140534,0.23333333333333334,0.4229525846816506,0.5716666666666665,0.4663123655043069,0.5899999999999997,0.4485903847981289
20,0.7500000000000002,0.3,0.7499999999999996,0.39999999999999997,0.23333333333333334,0.4229525846816505,0.36666666666666653,0.47615356999840097,0.598333333333333,0.4648446574454261
21,0.7500000000000002,0.29999999999999993,0.6166666666666665,0.4714045207910319,0.3,0.45825756949558394,0.5549999999999998,0.4624842339655122,0.4633333333333332,0.48647256403167843
22,0.6833333333333336,0.3726779962499649,0.6166666666666664,0.4714045207910317,0.3333333333333333,0.4714045207910316,0.4299999999999999,0.46985813461795745,0.5333333333333331,0.46910079466523574
23,0.7166666666666669,0.33993463423951903,0.6166666666666661,0.47140452079103173,0.4,0.4898979485566357,0.5099999999999998,0.4766899761200494,0.48833333333333323,0.490863751179716
24,0.6166666666666667,0.4229525846816506,0.6499999999999997,0.4582575694955839,0.4,0.4898979485566357,0.5216666666666665,0.4652388872635458,0.3333333333333332,0.47964106950464064
25,0.7166666666666668,0.3399346342395191,0.41666666666666646,0.4988876515698587,0.36666666666666664,0.48189440982669857,0.5383333333333332,0.4732306226589972,0.5166666666666665,0.47193455290137665
26,0.5833333333333334,0.4422166387140533,0.5833333333333331,0.48189440982669846,0.26666666666666666,0.4422166387140532,0.49999999999999983,0.4600724580614088,0.5616666666666664,0.47181976313936747
27,0.7500000000000002,0.2999999999999999,0.48333333333333306,0.498887651569859,0.23333333333333334,0.4229525846816506,0.5283333333333331,0.48540075081203665,0.49499999999999983,0.45850299889968005
28,0.65,0.4,0.5499999999999996,0.48989794855663554,0.3333333333333333,0.4714045207910316,0.5049999999999998,0.47528061886286366,0.6516666666666666,0.4267089822766279
29,0.6833333333333336,0.3726779962499649,0.2500000000000001,0.4582575694955839,0.3333333333333333,0.4714045207910317,0.4883333333333332,0.46756164180660603,0.4816666666666665,0.45743548421850955
30,0.7166666666666669,0.33993463423951903,0.41666666666666646,0.4988876515698587,0.26666666666666666,0.44221663871405315,0.605,0.4782520256099288,0.5183333333333331,0.4765297006017102
31,0.65,0.4,0.6166666666666664,0.4714045207910317,0.16666666666666666,0.3726779962499649,0.5949999999999999,0.45228125467825153,0.6483333333333332,0.40997628657710866
32,0.7500000000000001,0.3,0.5833333333333329,0.48189440982669873,0.5333333333333333,0.4988876515698589,0.5766666666666665,0.45620414533651726,0.7166666666666667,0.3503173164749671
33,0.7166666666666669,0.33993463423951903,0.6166666666666661,0.47140452079103173,0.26666666666666666,0.4422166387140532,0.5066666666666665,0.4763985259796209,0.5599999999999998,0.4637528077183648
34,0.5833333333333335,0.44221663871405337,0.5833333333333331,0.4818944098266985,0.3333333333333333,0.47140452079103157,0.5366666666666665,0.45788159556325864,0.7449999999999999,0.35551605683381826
35,0.7500000000000002,0.3,0.5166666666666663,0.4955356249106168,0.36666666666666664,0.48189440982669857,0.57,0.47251102279911594,0.5083333333333331,0.4688786860396004
36,0.65,0.4,0.7166666666666663,0.4229525846816507,0.23333333333333334,0.42295258468165065,0.5749999999999997,0.46147408739097506,0.5499999999999997,0.46296148147911104
37,0.7166666666666668,0.3399346342395191,0.5499999999999996,0.48989794855663554,0.36666666666666664,0.4818944098266985,0.40333333333333327,0.4788759987953271,0.5249999999999998,0.47236109069227955
38,0.65,0.4,0.5499999999999996,0.48989794855663554,0.36666666666666664,0.48189440982669857,0.4799999999999998,0.488978527135906,0.5783333333333331,0.43621159493479256
39,0.6166666666666668,0.42295258468165076,0.683333333333333,0.44221663871405337,0.36666666666666664,0.48189440982669857,0.47833333333333317,0.47234932929865453,0.6733333333333332,0.3900284889879485
40,0.7166666666666668,0.3399346342395191,0.4499999999999997,0.49999999999999994,0.3,0.45825756949558394,0.4133333333333332,0.4816522489191647,0.6499999999999998,0.4141255848169731
41,0.8166666666666669,0.17950549357115006,0.683333333333333,0.4422166387140534,0.36666666666666664,0.48189440982669857,0.5183333333333332,0.475128637552213,0.6950000000000001,0.37955017235318617
42,0.6166666666666666,0.4229525846816506,0.7166666666666663,0.4229525846816507,0.23333333333333334,0.4229525846816506,0.6316666666666665,0.4390298648409038,0.64,0.43825411197918807
43,0.65,0.4,0.5833333333333331,0.4818944098266985,0.36666666666666664,0.48189440982669857,0.4233333333333331,0.47674824476749655,0.6383333333333332,0.422627364103283
44,0.7500000000000001,0.2999999999999999,0.34999999999999976,0.48989794855663577,0.16666666666666666,0.3726779962499649,0.5466666666666666,0.4547771126851286,0.5583333333333332,0.4444253468119128
45,0.7500000000000001,0.2999999999999999,0.5166666666666663,0.4955356249106168,0.43333333333333335,0.49553562491061676,0.5433333333333331,0.4600241539552267,0.5499999999999999,0.4670831474873255
