t,Always Explain_mean,Always Explain_std,Always Update_mean,Always Update_std,Always Silent_mean,Always Silent_std,Random_mean,Random_std,Adaptive (TS)_mean,Adaptive (TS)_std
0,0.3,5.551115123125783e-17,0.0,0.0,0.09000000000000001,0.09165151389911677,0.10166666666666666,0.12941105911869438,0.11333333333333329,0.12970050972229144
1,0.6,8.835403805853808e-17,0.0,0.0,0.175,0.116010057035299,0.20333333333333328,0.17317300277147382,0.1783333333333333,0.15635607510494184
2,0.8999999999999996,3.293453726225543e-16,0.0,0.0,0.2516666666666667,0.1143702564286517,0.32,0.2119748412744619,0.2866666666666667,0.21406125810669757
3,1.1999999999999997,1.5700924586837752e-16,0.0,0.0,0.3483333333333333,0.14052480998820885,0.4716666666666667,0.28333823525171387,0.4133333333333333,0.20450482200237285
4,1.4999999999999998,2.026980648162706e-16,0.0,0.0,0.44166666666666665,0.16334183651335482,0.5716666666666668,0.32446965274976886,0.5083333333333332,0.27144162458170545
5,1.7999999999999992,5.704429186199679e-16,0.0,0.0,0.5383333333333332,0.19308173283756164,0.6450000000000002,0.32770667778772317,0.5766666666666667,0.29516473743017174
6,2.1000000000000005,9.729507111180987e-16,0.0,0.0,0.6333333333333332,0.21653842358548944,0.7900000000000004,0.3715732319027659,0.64,0.3144837038703277
7,2.3999999999999995,2.432376777795247e-16,0.0,0.0,0.7466666666666666,0.22320892057044273,0.9233333333333335,0.37897522639642583,0.6833333333333333,0.322059345807915
8,2.700000000000001,1.807539464518094e-15,0.0,0.0,0.8166666666666668,0.24608038433722326,1.0083333333333333,0.41373971957688027,0.7849999999999999,0.3670036330428714
9,2.9999999999999996,4.586533637279208e-16,0.0,0.0,0.9033333333333331,0.2539466260632121,1.1399999999999997,0.4253234063627347,0.8833333333333332,0.3884441901855257
10,3.2999999999999976,1.3759600911837627e-15,0.0,0.0,0.9833333333333335,0.26214923654709005,1.2449999999999999,0.43423304035199034,0.9783333333333334,0.4092031551958295
11,3.5999999999999974,1.3972940780029108e-15,0.0,0.0,1.0533333333333332,0.2581773722764168,1.3983333333333334,0.480708389312643,1.065,0.40766612155864335
12,3.9000000000000017,3.0735336894235626e-15,0.0,0.0,1.1533333333333333,0.29181424837652375,1.5566666666666664,0.5178051971757546,1.166666666666667,0.4083163261764366
13,4.2,1.7313784796629085e-15,0.0,0.0,1.2166666666666666,0.289347925899292,1.6733333333333333,0.5111642484455353,1.2383333333333337,0.41866520700382476
14,4.499999999999999,8.580618731806452e-16,0.0,0.0,1.311666666666667,0.2856814465254768,1.8166666666666669,0.5401131568682828,1.3016666666666665,0.46574015168212496
15,4.799999999999999,8.580618731806452e-16,0.0,0.0,1.3850000000000005,0.3019795798835852,1.985,0.5677660903341561,1.385,0.5113951505440777
16,5.099999999999995,2.7327428045998485e-15,0.0,0.0,1.4700000000000002,0.30621343319107763,2.1233333333333326,0.5992680720864595,1.4883333333333333,0.5426299127602735
17,5.399999999999998,2.293266818639604e-16,0.0,0.0,1.5450000000000006,0.3075033875152162,2.1833333333333322,0.5829999047074439,1.5616666666666672,0.5900117701274177
18,5.6999999999999975,2.293266818639604e-16,0.0,0.0,1.6416666666666666,0.3175645166296482,2.3033333333333332,0.614401244211703,1.5950000000000002,0.6095558492323188
19,5.999999999999999,1.7313784796629085e-15,0.0,0.0,1.7049999999999998,0.3312476415010376,2.4216666666666664,0.6503439261054277,1.6799999999999997,0.63608175575157
20,6.300000000000002,4.387277753618146e-15,0.0,0.0,1.7866666666666668,0.34591264150874196,2.5483333333333325,0.6253643382505556,1.7683333333333333,0.6824567548366872
21,6.599999999999995,1.8488908177493114e-15,0.0,0.0,1.8849999999999996,0.34233268419282803,2.6766666666666654,0.6368847793928051,1.8666666666666665,0.7410952855215192
22,6.8999999999999995,2.6147264698081585e-15,0.0,0.0,1.9683333333333328,0.35248719440884957,2.818333333333334,0.6565672513578144,1.9433333333333331,0.7434977396662943
23,7.199999999999995,1.8488908177493114e-15,0.0,0.0,2.0450000000000004,0.38586482952799234,2.92,0.6522525073415456,1.973333333333333,0.7509697434354831
24,7.499999999999999,2.6147264698081585e-15,0.0,0.0,2.1366666666666663,0.40659835491824375,3.08,0.6835690650304959,2.0500000000000003,0.7502221893101624
25,7.799999999999992,4.5055544195678486e-15,0.0,0.0,2.2366666666666664,0.43721339818852245,3.195,0.7143003569927706,2.121666666666666,0.8099056872390895
26,8.099999999999996,4.586533637279208e-16,0.0,0.0,2.338333333333333,0.43754682289124464,3.326666666666667,0.7110711794343952,2.1999999999999997,0.8559595005995706
27,8.4,3.462756959325817e-15,0.0,0.0,2.4366666666666665,0.45987921119451447,3.485,0.6917550144379147,2.2266666666666666,0.8607877529075069
28,8.699999999999994,3.697781635498623e-15,0.0,0.0,2.518333333333333,0.4565237002488358,3.644999999999999,0.7124312832360274,2.27,0.8715503427800367
29,9.0,1.7161237463612904e-15,0.0,0.0,2.606666666666667,0.47988424530181134,3.759999999999999,0.7433482808661537,2.3666666666666663,0.9051089559949241
30,9.300000000000006,7.0010397497609025e-15,0.0,0.0,2.6883333333333335,0.5029385869290826,3.891666666666666,0.7607105596450959,2.453333333333333,0.9322851256753778
31,9.6,4.586533637279208e-16,0.0,0.0,2.7800000000000002,0.5145548237716433,4.014999999999998,0.7427594944978263,2.506666666666667,0.9703722080842082
32,9.9,4.586533637279208e-16,0.0,0.0,2.865,0.4934825224868659,4.141666666666667,0.766494545896374,2.586666666666667,0.9750156693897565
33,10.199999999999994,7.237428003557285e-15,0.0,0.0,2.9283333333333332,0.4816089930869464,4.26,0.757121742742429,2.6333333333333333,0.9750498562751659
34,10.500000000000002,4.586533637279208e-16,0.0,0.0,3.033333333333333,0.4698108366377072,4.394999999999999,0.7839377101105245,2.6783333333333337,1.013219565982067
35,10.800000000000008,5.229452939616317e-15,0.0,0.0,3.1199999999999997,0.4872713138830702,4.563333333333333,0.7966527195431866,2.7149999999999994,1.0129289214944943
36,11.100000000000005,1.7161237463612904e-15,0.0,0.0,3.1950000000000003,0.5002249493977687,4.694999999999999,0.8086356822863224,2.77,1.0483002114534425
37,11.399999999999999,5.465485609199697e-15,0.0,0.0,3.2866666666666675,0.4771326393735349,4.826666666666666,0.797886096020116,2.875,1.1308367108768027
38,11.700000000000005,4.586533637279208e-16,0.0,0.0,3.3699999999999997,0.48965974580995203,4.993333333333334,0.848894706204616,2.898333333333333,1.133834448037082
39,12.000000000000002,3.697781635498623e-15,0.0,0.0,3.4466666666666668,0.47274611462061644,5.113333333333332,0.8501895213552221,2.9433333333333334,1.140521323294259
40,12.30000000000001,3.462756959325817e-15,0.0,0.0,3.533333333333333,0.4476481753440854,5.266666666666665,0.8343993182057508,3.0466666666666664,1.162177075817431
41,12.600000000000007,4.586533637279208e-16,0.0,0.0,3.6133333333333324,0.44439721971327534,5.379999999999997,0.8421797116213772,3.1399999999999997,1.1823986919253022
42,12.900000000000016,8.774555507236292e-15,0.0,0.0,3.691666666666666,0.47029836865074903,5.481666666666665,0.8047239002015255,3.198333333333333,1.2102674176487698
43,13.200000000000005,3.697781635498623e-15,0.0,0.0,3.7599999999999993,0.49234134500364707,5.593333333333331,0.7896975511056253,3.2366666666666664,1.247993945854261
44,13.500000000000004,5.465485609199697e-15,0.0,0.0,3.8283333333333336,0.5034354201108844,5.706666666666666,0.7555057173105234,3.291666666666666,1.2455308997460566
45,13.800000000000011,1.7161237463612904e-15,0.0,0.0,3.8949999999999987,0.5170992812474864,5.814999999999999,0.7292861806817217,3.346666666666666,1.2814011428467231
46,14.10000000000002,8.774555507236292e-15,0.0,0.0,4.0,0.5242454895688982,5.916666666666665,0.7286212245665703,3.409999999999999,1.3064838307457154
47,14.400000000000018,7.0010397497609025e-15,0.0,0.0,4.0566666666666675,0.5366149043360202,6.065,0.7635607375972125,3.4683333333333324,1.3116454890285287
48,14.700000000000005,7.237428003557285e-15,0.0,0.0,4.118333333333333,0.5307986644879796,6.229999999999995,0.7535029307618294,3.5149999999999997,1.346857453481993
49,15.000000000000004,9.011108839135697e-15,0.0,0.0,4.216666666666667,0.5413460589637242,6.345,0.7398592208431725,3.57,1.36782065101143
50,15.300000000000013,4.586533637279208e-16,0.0,0.0,4.290000000000001,0.5577335086460802,6.47333333333333,0.7366289583109138,3.648333333333333,1.419828823798449
51,15.60000000000002,5.229452939616317e-15,0.0,0.0,4.370000000000001,0.5710516614107699,6.586666666666664,0.7380078289256525,3.6983333333333333,1.4554772031498422
52,15.900000000000022,7.0010397497609025e-15,0.0,0.0,4.463333333333334,0.5656756039364695,6.729999999999998,0.7726146085425338,3.7383333333333324,1.4784949178885332
53,16.200000000000006,7.395563270997246e-15,0.0,0.0,4.5600000000000005,0.583723678921229,6.891666666666664,0.7792179127532652,3.7766666666666664,1.4877126365292754
54,16.500000000000004,1.0930971218399394e-14,0.0,0.0,4.626666666666667,0.5854817579471538,7.049999999999998,0.757297827806207,3.8133333333333326,1.4956009568806183
55,16.800000000000015,9.173067274558416e-16,0.0,0.0,4.706666666666666,0.5797604869445855,7.16333333333333,0.7017755259973724,3.863333333333333,1.52107052944811
56,17.10000000000002,3.432247492722581e-15,0.0,0.0,4.771666666666665,0.5952147138264949,7.3216666666666645,0.68284738818828,3.898333333333333,1.5652200768227091
57,17.400000000000023,6.925513918651634e-15,0.0,0.0,4.8599999999999985,0.6189237971403809,7.486666666666665,0.7639735306642211,3.9399999999999995,1.6095237390814294
58,17.70000000000003,1.4002079499521805e-14,0.0,0.0,4.971666666666666,0.6003725695118182,7.609999999999998,0.7787168933572717,3.968333333333333,1.613044912235517
59,18.00000000000001,7.395563270997246e-15,0.0,0.0,5.034999999999999,0.5728801503514215,7.71333333333333,0.7957107235393753,3.9933333333333323,1.6149165785128203
60,18.30000000000002,9.173067274558416e-16,0.0,0.0,5.144999999999999,0.5871328640095023,7.8116666666666665,0.8040194165704104,4.049999999999999,1.6240894885032247
61,18.600000000000023,3.432247492722581e-15,0.0,0.0,5.204999999999997,0.6195899181447899,7.916666666666666,0.8245537513642698,4.093333333333333,1.628175529712799
62,18.900000000000027,6.925513918651634e-15,0.0,0.0,5.279999999999999,0.634376334152949,8.076666666666664,0.8771861578681898,4.173333333333333,1.6644184837020066
63,19.200000000000035,1.4002079499521805e-14,0.0,0.0,5.358333333333333,0.658670799582176,8.234999999999998,0.8154906498544304,4.213333333333333,1.6851277564492118
64,19.50000000000001,1.0930971218399394e-14,0.0,0.0,5.4316666666666675,0.6745965872694263,8.369999999999997,0.7942082010824796,4.278333333333334,1.693599880596227
65,19.800000000000022,9.173067274558416e-16,0.0,0.0,5.525,0.7010408927682709,8.511666666666667,0.8155451482835825,4.3516666666666675,1.7436782641556574
66,20.100000000000023,9.173067274558416e-16,0.0,0.0,5.621666666666667,0.7193380444702082,8.659999999999998,0.7890289390552596,4.411666666666666,1.776639305605451
67,20.400000000000023,9.173067274558416e-16,0.0,0.0,5.681666666666667,0.742348001651218,8.759999999999998,0.8012906255951512,4.4399999999999995,1.786262392072713
68,20.700000000000035,1.0458905879232634e-14,0.0,0.0,5.763333333333333,0.778987947417817,8.896666666666668,0.8205621379409513,4.473333333333333,1.820381522892629
69,21.00000000000001,1.447485600711457e-14,0.0,0.0,5.843333333333333,0.7622044053635199,9.013333333333332,0.8481286590029986,4.514999999999999,1.8447741505850153
70,21.300000000000026,9.173067274558416e-16,0.0,0.0,5.926666666666666,0.7977816465396763,9.111666666666666,0.8293253616980237,4.56,1.899008513233506
71,21.600000000000026,9.173067274558416e-16,0.0,0.0,6.0,0.7789950791457766,9.273333333333333,0.8266129014774033,4.596666666666666,1.9285976482638592
72,21.90000000000002,7.395563270997246e-15,0.0,0.0,6.075,0.7847239429676324,9.398333333333335,0.8738309650931112,4.665,1.921854573062176
73,22.20000000000004,1.0458905879232634e-14,0.0,0.0,6.1549999999999985,0.789129266977218,9.514999999999999,0.8817737805128949,4.715,1.9372295510169495
74,22.500000000000014,1.447485600711457e-14,0.0,0.0,6.25,0.809423663273238,9.708333333333336,0.8704484795526719,4.7716666666666665,1.9322992924377822
75,22.800000000000033,3.432247492722581e-15,0.0,0.0,6.3233333333333315,0.821861031778218,9.873333333333335,0.8504639256834421,4.795000000000001,1.9331903682772678
76,23.100000000000026,3.891802844472395e-15,0.0,0.0,6.4,0.8349650691296422,10.021666666666668,0.8856902518500613,4.851666666666665,1.9703419049043802
77,23.40000000000002,1.0930971218399394e-14,0.0,0.0,6.475,0.8618536225291789,10.123333333333335,0.9131204131377701,4.888333333333332,1.9728441116542603
78,23.700000000000042,1.0458905879232634e-14,0.0,0.0,6.5666666666666655,0.8784772178162755,10.243333333333336,0.9442574978374412,4.909999999999998,1.984036289990684
79,24.000000000000032,9.173067274558416e-16,0.0,0.0,6.653333333333332,0.8815642662651187,10.355000000000006,0.9098855239351101,4.993333333333331,1.9745773106048683
80,24.300000000000036,3.432247492722581e-15,0.0,0.0,6.693333333333331,0.8936566579074002,10.496666666666671,0.9258269576738184,5.031666666666666,2.003392262028471
81,24.600000000000026,7.395563270997246e-15,0.0,0.0,6.7766666666666655,0.878989318605308,10.645000000000003,0.9161832058418609,5.104999999999999,2.0615669606717444
82,24.900000000000052,1.7549111014472585e-14,0.0,0.0,6.861666666666666,0.8570961958198687,10.795000000000005,0.9570222916247406,5.121666666666667,2.0747563444628594
83,25.200000000000042,6.925513918651634e-15,0.0,0.0,6.894999999999999,0.859588079644354,10.86833333333334,0.943440806598675,5.174999999999999,2.083296666343994
84,25.500000000000032,3.891802844472395e-15,0.0,0.0,6.968333333333334,0.8514187506091763,10.953333333333338,0.9521846226208229,5.198333333333334,2.0783600639820703
85,25.800000000000043,6.925513918651634e-15,0.0,0.0,7.051666666666665,0.8312123007324245,11.02166666666667,0.9371662368841286,5.233333333333334,2.064434278171356
86,26.100000000000026,1.0930971218399394e-14,0.0,0.0,7.13,0.8209344269387995,11.175000000000004,0.9366384930519723,5.281666666666668,2.0932225289145814
87,26.400000000000055,1.7549111014472585e-14,0.0,0.0,7.216666666666666,0.8212118416638247,11.293333333333335,0.9643420324529876,5.321666666666667,2.097962636040552
88,26.700000000000042,3.432247492722581e-15,0.0,0.0,7.275,0.8206450714732498,11.375000000000004,0.9535678615948998,5.341666666666668,2.0941618583311294
89,27.000000000000025,1.447485600711457e-14,0.0,0.0,7.353333333333333,0.8010340539300171,11.530000000000006,0.9452160246913592,5.346666666666667,2.0956277235128273
90,27.300000000000058,1.7549111014472585e-14,0.0,0.0,7.425,0.8069231685854622,11.663333333333343,0.9288822434637369,5.4,2.1153407920868608
91,27.60000000000003,1.0930971218399394e-14,0.0,0.0,7.508333333333332,0.7863505720874273,11.798333333333341,0.9383925380966959,5.468333333333334,2.1722293975442732
92,27.900000000000055,1.4002079499521805e-14,0.0,0.0,7.598333333333332,0.785120302175973,11.915000000000003,0.9698926057387334,5.506666666666666,2.161817650856694
93,28.200000000000045,3.432247492722581e-15,0.0,0.0,7.676666666666666,0.772521125205577,12.011666666666672,0.9974704117026358,5.536666666666665,2.14995865593323
94,28.500000000000032,1.0930971218399394e-14,0.0,0.0,7.779999999999999,0.8022468448052644,12.15666666666667,0.9981427196993886,5.556666666666667,2.1420291522033232
95,28.80000000000006,1.7549111014472585e-14,0.0,0.0,7.880000000000001,0.7921068951431588,12.301666666666673,0.9930158888736669,5.625,2.150726621400312
96,29.10000000000003,1.447485600711457e-14,0.0,0.0,7.969999999999999,0.7806621121415688,12.426666666666671,1.0264610183646652,5.675000000000001,2.1698598265018565
97,29.40000000000006,1.4002079499521805e-14,0.0,0.0,8.04,0.7998333159686056,12.550000000000008,1.0822815406969375,5.715000000000001,2.1976559482017803
98,29.700000000000045,9.173067274558416e-16,0.0,0.0,8.118333333333336,0.7773334048027423,12.680000000000007,1.096479213969271,5.775,2.2526558399660908
99,30.000000000000032,1.447485600711457e-14,0.0,0.0,8.183333333333334,0.7864830294135772,12.78666666666667,1.1031721936710028,5.791666666666666,2.253075059162971
100,30.30000000000006,1.4002079499521805e-14,0.0,0.0,8.273333333333333,0.7943271086621413,12.885000000000007,1.1069590477218825,5.801666666666665,2.2564161603943744
101,30.60000000000003,1.8022217678271394e-14,0.0,0.0,8.343333333333334,0.7911735306211636,13.031666666666672,1.1080375545179981,5.833333333333332,2.2902813994985176
102,30.90000000000006,1.0458905879232634e-14,0.0,0.0,8.415,0.7809342695344692,13.191666666666672,1.1401815157635617,5.8983333333333325,2.3362891991836596
103,31.20000000000005,9.173067274558416e-16,0.0,0.0,8.496666666666664,0.801969797159193,13.276666666666674,1.1732244267639331,5.935,2.338202657313234
104,31.500000000000032,1.8022217678271394e-14,0.0,0.0,8.561666666666667,0.8261036389111381,13.428333333333342,1.2102811886316172,5.966666666666667,2.381537785176256
105,31.80000000000006,1.0458905879232634e-14,0.0,0.0,8.655000000000001,0.819689982046059,13.566666666666675,1.2082586183797297,6.001666666666665,2.383746467689512
106,32.10000000000003,2.1316282072803006e-14,0.0,0.0,8.715000000000002,0.7981384591660787,13.703333333333346,1.1688265720608682,6.0183333333333335,2.388635710098038
107,32.40000000000006,1.4210854715202004e-14,0.0,0.0,8.818333333333332,0.8173619489281094,13.823333333333345,1.1561237919108083,6.054999999999999,2.4350000000000005
108,32.700000000000045,0.0,0.0,0.0,8.9,0.8021845174272574,13.976666666666679,1.161875877861125,6.1033333333333335,2.4513918948675313
109,33.00000000000003,1.4210854715202004e-14,0.0,0.0,8.991666666666665,0.800633429784749,14.118333333333341,1.1673676465545146,6.134999999999999,2.4762925917588987
110,33.30000000000006,2.1316282072803006e-14,0.0,0.0,9.083333333333336,0.7945998294040157,14.236666666666673,1.1983275382335554,6.171666666666665,2.515342366800636
111,33.60000000000003,7.105427357601002e-15,0.0,0.0,9.171666666666665,0.7929568434382529,14.36000000000001,1.2271511724314998,6.228333333333333,2.551100525045787
112,33.90000000000006,2.842170943040401e-14,0.0,0.0,9.24,0.7932422916948738,14.48000000000001,1.2542992731667635,6.2366666666666655,2.5590015414002574
113,34.20000000000004,7.105427357601002e-15,0.0,0.0,9.32,0.7803418054502369,14.618333333333343,1.3053405260271718,6.29,2.5822599920741274
114,34.50000000000001,2.1316282072803006e-14,0.0,0.0,9.386666666666667,0.7983246346081424,14.733333333333343,1.295912377010457,6.335,2.5942934169698963
115,34.80000000000004,1.4210854715202004e-14,0.0,0.0,9.466666666666665,0.7754926749421239,14.866666666666678,1.2652623794647861,6.361666666666667,2.611758134964944
116,35.10000000000002,0.0,0.0,0.0,9.525,0.7636262174650645,15.051666666666678,1.2787026845813532,6.408333333333332,2.663239985848483
