t,Always Explain_mean,Always Explain_std,Always Update_mean,Always Update_std,Always Silent_mean,Always Silent_std,Random_mean,Random_std,Adaptive (TS)_mean,Adaptive (TS)_std
0,0.5499999999999997,0.45825756949558394,0.7166666666666663,0.42295258468165076,0.8333333333333334,0.3726779962499649,0.7433333333333331,0.4174792077324197,0.7766666666666665,0.38767110917488923
1,0.41666666666666646,0.49553562491061676,0.683333333333333,0.44221663871405337,0.7,0.45825756949558394,0.6783333333333331,0.45454800504334947,0.6233333333333333,0.47499707601439217
2,0.7166666666666669,0.339934634239519,0.7166666666666663,0.42295258468165065,0.5333333333333333,0.498887651569859,0.6933333333333334,0.441160086841752,0.5116666666666665,0.4944160416311572
3,0.34999999999999976,0.5,0.6166666666666664,0.47140452079103173,0.5333333333333333,0.498887651569859,0.8266666666666667,0.33109246778237383,0.7083333333333334,0.4070387641927431
4,0.41666666666666646,0.4955356249106167,0.6499999999999997,0.45825756949558394,0.6666666666666666,0.4714045207910315,0.7433333333333331,0.4248006068210773,0.6166666666666666,0.48499713630311486
5,0.5166666666666664,0.4714045207910316,0.7166666666666663,0.4229525846816507,0.7333333333333333,0.4422166387140533,0.7233333333333332,0.42538871112848714,0.6366666666666666,0.4629494812851854
6,0.3166666666666665,0.49888765156985865,0.883333333333333,0.2494438257849294,0.8,0.4,0.6216666666666665,0.4478994182725502,0.6566666666666666,0.4505058884804454
7,0.34999999999999976,0.5,0.7166666666666662,0.42295258468165076,0.7,0.45825756949558394,0.4716666666666665,0.502275378209559,0.723333333333333,0.43641213956025043
8,0.5499999999999997,0.45825756949558394,0.783333333333333,0.37267799624996484,0.7666666666666667,0.42295258468165065,0.6666666666666665,0.4646384496454087,0.6433333333333332,0.4650686926561375
9,0.4833333333333331,0.48189440982669857,0.7166666666666663,0.42295258468165076,0.7,0.45825756949558394,0.47499999999999987,0.5181296491548552,0.6316666666666666,0.4879349911161892
10,0.4166666666666664,0.49553562491061676,0.683333333333333,0.44221663871405337,0.7,0.45825756949558394,0.5349999999999999,0.5113951505440778,0.5116666666666665,0.4944160416311572
11,0.31666666666666643,0.49888765156985876,0.783333333333333,0.37267799624996484,0.7666666666666667,0.4229525846816506,0.6683333333333332,0.44897723278085666,0.6666666666666665,0.4457827074059986
12,0.38333333333333314,0.498887651569859,0.783333333333333,0.3726779962499648,0.6666666666666666,0.4714045207910316,0.5816666666666666,0.4894696676562865,0.6166666666666667,0.46085669018566805
13,0.34999999999999987,0.5,0.7499999999999997,0.39999999999999997,0.6,0.48989794855663577,0.6399999999999999,0.46375280771836486,0.7849999999999998,0.3679107681671377
14,0.4499999999999998,0.48989794855663554,0.7833333333333329,0.37267799624996506,0.7,0.45825756949558394,0.6833333333333333,0.4401388669752107,0.7599999999999998,0.3948417404479927
15,0.4499999999999998,0.48989794855663554,0.7166666666666663,0.4229525846816508,0.7,0.45825756949558394,0.5816666666666666,0.4726667842030884,0.7583333333333331,0.40765249362116696
16,0.3499999999999998,0.5,0.783333333333333,0.3726779962499649,0.6,0.48989794855663577,0.5649999999999998,0.4929756586282937,0.6549999999999998,0.47158420951794666
17,0.41666666666666646,0.4955356249106167,0.8166666666666662,0.33993463423951903,0.6333333333333333,0.48189440982669857,0.6316666666666664,0.47652970060171024,0.5816666666666666,0.4870803036689354
18,0.41666666666666635,0.49553562491061676,0.6499999999999997,0.45825756949558394,0.7666666666666667,0.42295258468165065,0.6383333333333332,0.46916296623762727,0.6633333333333332,0.4503578823804711
19,0.4833333333333331,0.48189440982669857,0.8166666666666662,0.33993463423951903,0.7333333333333333,0.44221663871405337,0.6399999999999999,0.4626733909213568,0.6483333333333332,0.45615847636052487
20,0.5166666666666664,0.47140452079103173,0.7499999999999996,0.4,0.7666666666666667,0.4229525846816506,0.5933333333333332,0.49036267757197377,0.7416666666666667,0.4238874326463991
21,0.41666666666666646,0.4955356249106167,0.7166666666666663,0.42295258468165076,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4403281604540969,0.7866666666666666,0.3864223365984712
22,0.34999999999999987,0.5,0.7166666666666663,0.4229525846816507,0.5666666666666667,0.49553562491061676,0.66,0.44803273689913925,0.5849999999999999,0.46478489648438454
23,0.6166666666666666,0.4229525846816506,0.8166666666666663,0.33993463423951903,0.6,0.4898979485566357,0.7549999999999998,0.39398604036183826,0.5899999999999997,0.4848367422820455
24,0.65,0.4000000000000001,0.9166666666666662,0.1795054935711502,0.5666666666666667,0.49553562491061676,0.6666666666666665,0.4557655342632024,0.5633333333333331,0.5026485407872537
25,0.5166666666666664,0.47140452079103173,0.48333333333333306,0.498887651569859,0.6333333333333333,0.4818944098266985,0.4766666666666666,0.5100217860270502,0.6883333333333332,0.4402051289518961
26,0.3499999999999998,0.5,0.7166666666666663,0.42295258468165076,0.5666666666666667,0.49553562491061676,0.63,0.45999999999999996,0.6783333333333333,0.43849806790401663
27,0.4833333333333331,0.4818944098266986,0.5833333333333329,0.48189440982669873,0.6333333333333333,0.48189440982669857,0.5183333333333331,0.4850229089663932,0.8299999999999997,0.33679865399572684
28,0.48333333333333306,0.48189440982669873,0.6499999999999997,0.4582575694955839,0.6666666666666666,0.4714045207910317,0.5733333333333334,0.4831723869961481,0.6816666666666664,0.4433740582798633
29,0.5166666666666664,0.47140452079103173,0.8499999999999995,0.3,0.6,0.48989794855663577,0.8016666666666665,0.35366729500415434,0.6416666666666664,0.46279645153734217
30,0.48333333333333317,0.4818944098266985,0.8499999999999996,0.30000000000000004,0.5333333333333333,0.4988876515698589,0.5116666666666665,0.49827758885540446,0.7016666666666665,0.42943438251831784
31,0.5166666666666664,0.47140452079103173,0.8166666666666662,0.33993463423951903,0.6666666666666666,0.4714045207910317,0.5533333333333332,0.483551674821029,0.7216666666666663,0.41586923692697236
32,0.41666666666666646,0.49553562491061676,0.7833333333333329,0.3726779962499649,0.5333333333333333,0.4988876515698589,0.5316666666666664,0.4923554497402146,0.8516666666666666,0.30481779621421207
33,0.4499999999999998,0.48989794855663554,0.6499999999999997,0.45825756949558394,0.6333333333333333,0.48189440982669857,0.39999999999999997,0.5016638981097471,0.6316666666666666,0.45870893700568877
34,0.5499999999999999,0.45825756949558394,0.783333333333333,0.3726779962499648,0.6,0.4898979485566357,0.6299999999999998,0.47074409183759275,0.7633333333333331,0.39537605165490514
35,0.5833333333333333,0.4422166387140533,0.6166666666666664,0.4714045207910317,0.7666666666666667,0.42295258468165065,0.4849999999999997,0.5025186563700894,0.7949999999999997,0.3656842900645309
36,0.5833333333333333,0.44221663871405337,0.7166666666666662,0.4229525846816507,0.6666666666666666,0.4714045207910316,0.5316666666666665,0.5159914943312752,0.6783333333333332,0.4454741543818476
37,0.41666666666666646,0.4955356249106167,0.7499999999999997,0.39999999999999997,0.6,0.48989794855663577,0.4749999999999998,0.4979541478221999,0.7183333333333334,0.4274894410651826
38,0.4833333333333331,0.48189440982669857,0.683333333333333,0.44221663871405337,0.7333333333333333,0.44221663871405337,0.5883333333333333,0.4519740651359937,0.6633333333333332,0.46078435544430346
39,0.4833333333333331,0.48189440982669857,0.8166666666666662,0.33993463423951903,0.6,0.48989794855663577,0.57,0.4927135746726151,0.6016666666666665,0.48656677056928394
40,0.48333333333333317,0.4818944098266985,0.783333333333333,0.3726779962499649,0.6,0.4898979485566357,0.35666666666666647,0.5257904102925001,0.6416666666666664,0.46333633092555504
41,0.4166666666666666,0.4955356249106168,0.783333333333333,0.3726779962499648,0.7333333333333333,0.44221663871405353,0.5683333333333332,0.4810549749133553,0.6499999999999999,0.4609772228646444
42,0.1833333333333333,0.4714045207910316,0.6166666666666661,0.4714045207910317,0.5,0.5,0.6266666666666666,0.4602052682107071,0.7999999999999997,0.36354733758709695
43,0.4166666666666664,0.49553562491061676,0.7499999999999997,0.39999999999999997,0.8333333333333334,0.3726779962499649,0.7083333333333333,0.43418186153832916,0.8249999999999997,0.363948256395512
44,0.3833333333333331,0.498887651569859,0.7166666666666662,0.42295258468165076,0.6333333333333333,0.48189440982669857,0.715,0.4457484342840327,0.6866666666666664,0.44664179035205487
45,0.6166666666666667,0.42295258468165065,0.7499999999999997,0.39999999999999997,0.6,0.4898979485566357,0.7416666666666667,0.4084693650963585,0.7199999999999999,0.4267317658670374
46,0.41666666666666646,0.4955356249106167,0.6499999999999997,0.45825756949558394,0.6333333333333333,0.4818944098266986,0.6066666666666666,0.47499707601439217,0.783333333333333,0.3708848278853632
47,0.6166666666666667,0.42295258468165065,0.7499999999999996,0.4,0.5333333333333333,0.4988876515698589,0.45833333333333315,0.48666952053957757,0.5949999999999999,0.48585834698328834
48,0.5166666666666664,0.4714045207910317,0.683333333333333,0.44221663871405337,0.7666666666666667,0.42295258468165065,0.4233333333333332,0.504435878537159,0.5583333333333331,0.4951571018934855
49,0.3833333333333332,0.498887651569859,0.6499999999999997,0.45825756949558394,0.6666666666666666,0.4714045207910315,0.5416666666666664,0.4934712645016819,0.6333333333333332,0.4630214777835784
50,0.7166666666666668,0.33993463423951914,0.7166666666666663,0.4229525846816508,0.7666666666666667,0.4229525846816506,0.6149999999999999,0.480823945604487,0.6766666666666664,0.45966171135835193
51,0.44999999999999984,0.48989794855663554,0.7499999999999996,0.4,0.7333333333333333,0.4422166387140534,0.5866666666666666,0.48130609341203595,0.6866666666666664,0.4460817065167422
52,0.41666666666666646,0.49553562491061676,0.6833333333333329,0.4422166387140533,0.6666666666666666,0.4714045207910316,0.4649999999999999,0.4993579210679783,0.6549999999999998,0.4592294270478174
53,0.31666666666666643,0.49888765156985876,0.7499999999999997,0.39999999999999997,0.6666666666666666,0.47140452079103157,0.6099999999999999,0.4759901959774661,0.693333333333333,0.4417264110535187
54,0.5833333333333334,0.4422166387140532,0.8499999999999995,0.3,0.5666666666666667,0.49553562491061676,0.7033333333333333,0.4289392601393452,0.7916666666666663,0.36925224741661655
55,0.31666666666666654,0.4988876515698589,0.6499999999999997,0.4582575694955839,0.6,0.48989794855663577,0.6633333333333333,0.4638486343146389,0.6583333333333331,0.4651314031778786
56,0.44999999999999984,0.4898979485566356,0.7499999999999997,0.39999999999999997,0.6666666666666666,0.4714045207910316,0.7833333333333333,0.32795663669996905,0.7916666666666665,0.3692522474166165
57,0.3499999999999998,0.49999999999999994,0.5833333333333329,0.48189440982669873,0.7666666666666667,0.4229525846816507,0.6566666666666664,0.44248038249044314,0.6616666666666665,0.4565602065688842
58,0.4166666666666664,0.49553562491061676,0.7499999999999996,0.39999999999999997,0.6666666666666666,0.47140452079103157,0.6499999999999998,0.429340579648993,0.6649999999999997,0.45408332568667026
59,0.41666666666666635,0.49553562491061676,0.8499999999999995,0.30000000000000004,0.7,0.45825756949558394,0.6366666666666665,0.46384863431463885,0.6683333333333331,0.4526741531045138
60,0.5166666666666664,0.4714045207910316,0.783333333333333,0.3726779962499648,0.6666666666666666,0.4714045207910316,0.7033333333333333,0.44251804734069566,0.6516666666666665,0.45432795301289675
