t,Always Explain_mean,Always Explain_std,Always Update_mean,Always Update_std,Always Silent_mean,Always Silent_std,Random_mean,Random_std,Adaptive (TS)_mean,Adaptive (TS)_std
0,0.009999999999999998,0.053851648071345036,0.14333333333333342,0.04955356249106172,0.36833333333333335,0.13446395634353306,0.12333333333333335,0.13211947455070944,0.18333333333333332,0.16599866130651644
1,0.019999999999999997,0.10770329614269007,0.28000000000000014,0.07023769168568494,0.7099999999999999,0.1868154169226941,0.32333333333333336,0.20483055327649619,0.35499999999999987,0.211482859825566
2,0.039999999999999994,0.1685229954635272,0.39666666666666683,0.0874960316560446,1.0616666666666663,0.24381801045497487,0.5583333333333335,0.2822774442911717,0.5416666666666666,0.26491612928539393
3,0.059999999999999984,0.2374868417407583,0.5133333333333334,0.11175369742826811,1.396666666666666,0.32350510900997453,0.7133333333333333,0.3671814568060623,0.7050000000000001,0.31815876539866067
4,0.09999999999999996,0.31304951684997046,0.6166666666666669,0.14161763857498672,1.7099999999999995,0.4482186966202993,0.8466666666666669,0.39705862987165447,0.8566666666666669,0.32086688136290337
5,0.15999999999999998,0.4004996878900156,0.7366666666666668,0.1580787426850584,2.0533333333333332,0.5833714273275837,0.9849999999999999,0.405,1.0200000000000002,0.35837596645608555
6,0.2399999999999999,0.4983974317750843,0.8533333333333335,0.1995550606279436,2.4083333333333328,0.6775056375329201,1.1483333333333332,0.46070296528481575,1.1950000000000003,0.41919565837446365
7,0.32999999999999996,0.6067124524847004,0.9600000000000002,0.2444040370643116,2.7000000000000006,0.7587270040447135,1.31,0.4855237721608833,1.326666666666667,0.453088169001232
8,0.42999999999999994,0.7211795892841115,1.0666666666666669,0.2879043050891892,3.025,0.8948696366883093,1.5066666666666668,0.5189305241445032,1.4933333333333332,0.49560288762498367
9,0.5499999999999997,0.8345657553482527,1.1633333333333338,0.32810906045940824,3.3449999999999993,1.0098968594201423,1.6550000000000002,0.5657369824691801,1.656666666666667,0.473063303257491
10,0.6399999999999999,0.9414881836751854,1.2533333333333336,0.36581719782183886,3.6300000000000012,1.1017864281853056,1.8350000000000004,0.5796766339951956,1.763333333333334,0.49765003321164925
11,0.7299999999999998,1.0555093557141022,1.3700000000000006,0.41805103356727497,3.9383333333333335,1.2165308143332099,1.9750000000000005,0.530840528470337,1.8666666666666671,0.5730522566824853
12,0.8399999999999997,1.1732007500849968,1.4800000000000002,0.4541659021400296,4.266666666666667,1.3463737305154992,2.15,0.5849501403253671,2.0000000000000004,0.6116916434500858
13,0.9499999999999998,1.2963410045200292,1.5733333333333344,0.49324323501583806,4.548333333333334,1.4700047241042762,2.2766666666666664,0.5791852515003776,2.1350000000000002,0.6752962312940893
14,1.0399999999999998,1.3872274507087867,1.6733333333333342,0.5334999739664685,4.8533333333333335,1.5495124681295371,2.448333333333333,0.6228273347316163,2.226666666666667,0.7225802531360945
15,1.1299999999999997,1.4852945835759308,1.7833333333333343,0.5802777112919492,5.126666666666668,1.6181127553075187,2.6016666666666666,0.6640134704122267,2.3433333333333333,0.7639517145881816
16,1.2299999999999998,1.5899999999999999,1.8900000000000006,0.6289409087240766,5.421666666666667,1.7074192676538344,2.7566666666666664,0.6800408484462941,2.4616666666666664,0.8087730762636013
17,1.3499999999999999,1.6662832892398576,1.9966666666666681,0.6769949942371973,5.686666666666667,1.7515675519056895,2.8766666666666665,0.7071932000678613,2.6016666666666666,0.8268900907752024
18,1.4699999999999995,1.7515992692393991,2.1000000000000005,0.7201851613763416,5.971666666666668,1.7846887372561329,3.028333333333334,0.7283180776434306,2.7033333333333336,0.8460627767619978
19,1.5699999999999996,1.845562244954095,2.186666666666668,0.7601461847712077,6.236666666666667,1.8106597938013893,3.1433333333333318,0.7307226255943876,2.8400000000000007,0.8601744009211155
20,1.6799999999999997,1.9140532907941719,2.2733333333333348,0.8057846417554071,6.486666666666668,1.849411317750117,3.3083333333333322,0.7559853761078245,2.935000000000001,0.8929492333460697
21,1.7899999999999996,1.9907033932758535,2.3666666666666676,0.8521867296679896,6.753333333333333,1.8743858253364554,3.435,0.751015978525091,3.0300000000000002,0.8947625383307015
22,1.8999999999999995,2.0746083967823896,2.456666666666668,0.9021024824757384,7.051666666666667,1.9138305103175213,3.593333333333333,0.8092932444766578,3.14,0.9270382947861432
23,2.019999999999999,2.1562931155109677,2.523333333333335,0.9411635824280973,7.3133333333333335,1.9512360754717057,3.766666666666666,0.8253618734968452,3.2433333333333336,0.9471653616038871
24,2.1399999999999992,2.2446380554557113,2.5966666666666693,0.9840336489278318,7.558333333333334,2.063212839777376,3.9383333333333335,0.8925322901099371,3.341666666666667,0.989703940018877
25,2.2599999999999993,2.3388886249669936,2.6633333333333358,1.0235504655636463,7.771666666666667,2.122132706081838,4.060000000000001,0.8549268974596599,3.4050000000000007,0.9634443419315928
26,2.3799999999999994,2.4383601046605063,2.7266666666666683,1.0667499967450467,8.01666666666667,2.2010351100233634,4.175,0.9142164222254305,3.485,1.0015945620193167
27,2.499999999999999,2.5424397731313118,2.800000000000002,1.118332091405173,8.243333333333332,2.257606894233115,4.331666666666666,0.9353683172359907,3.5933333333333337,1.0349503477086341
28,2.629999999999998,2.6491696812397643,2.863333333333335,1.161172778798325,8.471666666666666,2.3608149487459253,4.510000000000002,0.9839884823174168,3.7149999999999994,1.0133401863803357
29,2.7699999999999987,2.7502908937056083,2.9466666666666685,1.2085068840883326,8.696666666666667,2.446696185108038,4.653333333333333,0.9619367038543765,3.801666666666667,1.021965698489381
30,2.9099999999999984,2.8261104012405447,3.016666666666669,1.257532857975843,8.919999999999998,2.573052661723037,4.833333333333332,1.0080784801900207,3.8650000000000007,1.0422051941276569
31,3.0599999999999996,2.906957172027134,3.1000000000000023,1.3079245645933368,9.13,2.697857174376238,5.03,1.0566140891230502,3.9483333333333337,1.0679016288445715
32,3.2099999999999995,2.9831024119195093,3.180000000000002,1.3486783654130945,9.343333333333335,2.812168005096583,5.2283333333333335,1.111131805362842,4.088333333333334,1.078013863031867
33,3.36,3.060784213236862,3.263333333333336,1.3864783525977695,9.528333333333336,2.906219862448279,5.393333333333333,1.1153275552749315,4.22,1.0820197163946075
34,3.4899999999999998,3.140206999546366,3.3333333333333353,1.4185281887302152,9.735000000000001,3.0244600068993037,5.553333333333333,1.1116754122594519,4.343333333333335,1.075231241278927
35,3.6199999999999983,3.224530973645624,3.4000000000000017,1.449367678219253,9.935,3.1111935008931866,5.751666666666667,1.1657961037658153,4.471666666666668,1.1153985336591083
36,3.7399999999999998,3.307022830281036,3.4766666666666692,1.4872084214691936,10.135,3.216161013796833,5.838333333333334,1.2017128978624174,4.598333333333334,1.1776730823487853
37,3.869999999999999,3.3961890406748556,3.566666666666669,1.5371691152533904,10.331666666666665,3.3412443623430024,6.054999999999999,1.2210207478444692,4.690000000000001,1.238641729207172
38,4.009999999999999,3.478347308708548,3.6533333333333347,1.5913795552566619,10.514999999999999,3.4228679495417302,6.239999999999999,1.2169223475637219,4.755,1.2522879061940988
39,4.159999999999999,3.565445273735105,3.7366666666666677,1.6339080621490174,10.706666666666669,3.5591369116058966,6.396666666666666,1.1909333407971336,4.865,1.3093987169689763
40,4.299999999999999,3.642526595647587,3.823333333333336,1.6724599314250326,10.878333333333332,3.657929362661645,6.515000000000001,1.1335894318491155,4.953333333333333,1.349563715510395
41,4.429999999999999,3.714579383994909,3.9000000000000026,1.7183325250563897,11.06,3.7814327090843944,6.671666666666667,1.1691651817524427,5.076666666666665,1.4113075103920083
42,4.5699999999999985,3.794482836962107,3.973333333333336,1.7435468320511374,11.246666666666664,3.901472656432298,6.840000000000001,1.1475626344561765,5.173333333333333,1.4116027140177305
43,4.709999999999998,3.8630169556966742,4.046666666666669,1.769883863107659,11.423333333333336,4.018783674474433,6.988333333333333,1.1900058356532917,5.268333333333333,1.4144188048649367
44,4.840000000000001,3.9197448896580003,4.110000000000002,1.7950580306311368,11.615000000000002,4.1140035245488065,7.1400000000000015,1.2409942250738588,5.306666666666666,1.4324066772006085
45,4.95,3.9774992143305328,4.170000000000003,1.8323300284974142,11.761666666666665,4.201858385153989,7.248333333333331,1.2348740376608818,5.449999999999999,1.498999666444259
46,5.0600000000000005,4.039603940982334,4.243333333333336,1.8688112680406113,11.94,4.283892311127035,7.378333333333333,1.2604022726450825,5.551666666666665,1.5214293352706927
47,5.179999999999999,4.120631019637648,4.300000000000002,1.8855591566782877,12.138333333333334,4.359466391913376,7.548333333333332,1.2956004613906078,5.648333333333331,1.5809534746123586
48,5.3,4.205234832919561,4.353333333333336,1.9113229856713274,12.306666666666665,4.449995006239395,7.693333333333332,1.2998546927338543,5.716666666666666,1.6032432407120536
49,5.420000000000001,4.293203931797325,4.420000000000002,1.9301813386311666,12.511666666666665,4.536310603220296,7.799999999999999,1.3404601200085489,5.813333333333332,1.6242912984505649
50,5.540000000000002,4.384335753566327,4.476666666666669,1.9619179957944783,12.675,4.617083314532382,7.9750000000000005,1.319264315189846,5.875000000000001,1.619812231916609
51,5.6400000000000015,4.456052064327796,4.533333333333335,1.9907006025238678,12.836666666666671,4.708767236643673,8.128333333333334,1.2941975205594478,5.9383333333333335,1.5951845939855638
52,5.75,4.531942188510354,4.593333333333335,2.010793099473163,13.009999999999996,4.802003054281965,8.273333333333333,1.336458836710739,6.036666666666665,1.6204388980218358
53,5.860000000000001,4.611117001334928,4.670000000000002,2.048601148751671,13.233333333333336,4.9302693187650055,8.415,1.3657202007243894,6.1499999999999995,1.6159104760681104
54,5.950000000000001,4.6785147215756435,4.7566666666666695,2.085614750832207,13.395,4.985434618298923,8.521666666666667,1.4160204408443011,6.243333333333334,1.6263319327725063
55,6.060000000000002,4.753146326382139,4.826666666666668,2.121781222359072,13.585000000000003,5.054967029236359,8.691666666666666,1.4309136552877288,6.326666666666667,1.6396510468863659
56,6.170000000000002,4.816648212190716,4.8900000000000015,2.1555123134265166,13.778333333333334,5.167940971885115,8.868333333333334,1.4300048562466103,6.421666666666667,1.6262268872727723
57,6.280000000000002,4.883605225650413,4.966666666666669,2.19823161250634,13.963333333333335,5.280844839817035,9.05166666666667,1.4384878248432347,6.510000000000001,1.6592869954692389
58,6.380000000000001,4.957378339404813,5.036666666666668,2.2364381403373437,14.168333333333333,5.352561432518908,9.196666666666665,1.4509728537165063,6.583333333333333,1.6654495555921895
59,6.490000000000001,5.029204708500146,5.113333333333335,2.2782644466542705,14.383333333333333,5.453230439127086,9.408333333333331,1.511846736794294,6.6833333333333345,1.6474896728727078
60,6.610000000000002,5.091453623475326,5.186666666666667,2.31599270772216,14.57,5.560254790325107,9.558333333333334,1.5011708393413752,6.783333333333333,1.6842076937110684
61,6.7200000000000015,5.153600683017656,5.253333333333334,2.3566548797442155,14.773333333333333,5.639514360494367,9.729999999999997,1.5611747713394124,6.87,1.6839239887833417
