t,Always Explain_mean,Always Explain_std,Always Update_mean,Always Update_std,Always Silent_mean,Always Silent_std,Random_mean,Random_std,Adaptive (TS)_mean,Adaptive (TS)_std
0,0.6833333333333335,0.3726779962499649,0.4166666666666666,0.498887651569859,0.26666666666666666,0.44221663871405326,0.6233333333333331,0.44492196569236225,0.5466666666666665,0.46258933071233804
1,0.65,0.4,0.5833333333333329,0.48189440982669873,0.3333333333333333,0.4714045207910316,0.5833333333333331,0.467499257278079,0.47999999999999987,0.4675467891024383
2,0.6500000000000001,0.4000000000000001,0.4499999999999998,0.49999999999999994,0.36666666666666664,0.4818944098266985,0.5133333333333332,0.47239343301484993,0.44999999999999984,0.4722287581247038
3,0.7166666666666668,0.3399346342395191,0.38333333333333314,0.495535624910617,0.3333333333333333,0.4714045207910316,0.5216666666666666,0.4847135465635578,0.39999999999999997,0.48131763593978844
4,0.6833333333333335,0.3726779962499649,0.7166666666666663,0.4229525846816508,0.4666666666666667,0.498887651569859,0.6249999999999999,0.4265657432721635,0.5783333333333331,0.4709358295517082
5,0.5833333333333333,0.44221663871405337,0.6166666666666664,0.4714045207910317,0.5,0.5,0.42999999999999977,0.48332183894378283,0.5099999999999999,0.4731807265728391
6,0.5833333333333333,0.44221663871405337,0.6499999999999997,0.45825756949558394,0.43333333333333335,0.49553562491061676,0.46499999999999986,0.48530917980190724,0.5183333333333332,0.4619674110680199
7,0.6500000000000001,0.4000000000000001,0.683333333333333,0.4422166387140534,0.43333333333333335,0.49553562491061676,0.605,0.4446627935863309,0.6316666666666665,0.4390298648409038
8,0.6833333333333335,0.3726779962499649,0.5499999999999997,0.4898979485566356,0.5,0.5,0.4833333333333331,0.47859748803723945,0.6399999999999999,0.45541190146942795
9,0.6500000000000001,0.4000000000000001,0.683333333333333,0.44221663871405337,0.6,0.48989794855663577,0.6449999999999999,0.415401412290971,0.5699999999999997,0.47497368348151664
10,0.6166666666666667,0.42295258468165065,0.5499999999999996,0.48989794855663554,0.4666666666666667,0.498887651569859,0.5966666666666665,0.4468283289536996,0.6299999999999998,0.44899888641287294
11,0.7500000000000001,0.2999999999999999,0.6166666666666664,0.4714045207910317,0.36666666666666664,0.48189440982669857,0.5516666666666664,0.45359367524495114,0.5599999999999999,0.4754646849837186
12,0.6500000000000001,0.4000000000000001,0.5166666666666664,0.49553562491061676,0.36666666666666664,0.4818944098266985,0.4749999999999998,0.5007910409209281,0.625,0.4192751681970525
13,0.5833333333333334,0.4422166387140533,0.6499999999999997,0.4582575694955839,0.4666666666666667,0.4988876515698589,0.5533333333333331,0.4700945531368013,0.5999999999999998,0.44422216663887154
14,0.5166666666666664,0.47140452079103173,0.6499999999999997,0.458257569495584,0.4666666666666667,0.4988876515698589,0.5266666666666664,0.47499707601439217,0.6066666666666666,0.4367938746009254
15,0.6500000000000001,0.40000000000000013,0.783333333333333,0.37267799624996484,0.4,0.4898979485566357,0.5533333333333331,0.4845845872726683,0.5583333333333331,0.4868407222992844
16,0.7166666666666669,0.33993463423951903,0.48333333333333306,0.498887651569859,0.43333333333333335,0.49553562491061676,0.6533333333333331,0.43949465930265363,0.7366666666666667,0.3801169410706248
17,0.5166666666666664,0.4714045207910317,0.5833333333333329,0.4818944098266987,0.43333333333333335,0.49553562491061676,0.5799999999999998,0.46360903068569886,0.5183333333333332,0.4644859763461349
18,0.6166666666666667,0.42295258468165065,0.4833333333333329,0.4988876515698587,0.5,0.5,0.47166666666666657,0.4888222808160674,0.6533333333333332,0.4127011294171877
19,0.5166666666666664,0.47140452079103173,0.5166666666666664,0.49553562491061676,0.4666666666666667,0.4988876515698589,0.6133333333333333,0.4236612902884672,0.5199999999999999,0.4737439533475158
20,0.7833333333333335,0.24944382578492952,0.683333333333333,0.4422166387140533,0.5,0.5,0.5516666666666664,0.5034023131540903,0.5866666666666666,0.4746811795534159
21,0.5833333333333334,0.44221663871405326,0.6166666666666664,0.4714045207910317,0.4,0.48989794855663577,0.6033333333333333,0.4658206617238966,0.735,0.40520570907462145
22,0.5499999999999997,0.4582575694955839,0.5499999999999996,0.48989794855663554,0.5,0.5,0.5616666666666666,0.4728783024086523,0.6383333333333333,0.45363041736148557
23,0.65,0.4000000000000001,0.683333333333333,0.4422166387140533,0.43333333333333335,0.49553562491061676,0.5349999999999999,0.46817909678526504,0.4149999999999999,0.4859955418176865
24,0.5499999999999997,0.4582575694955839,0.683333333333333,0.4422166387140534,0.5666666666666667,0.49553562491061676,0.4799999999999998,0.48107518469916244,0.5566666666666665,0.4471639023395733
25,0.38333333333333314,0.4988876515698589,0.683333333333333,0.4422166387140533,0.5333333333333333,0.4988876515698589,0.46499999999999975,0.5045047076093542,0.5433333333333332,0.48265469598415334
26,0.65,0.4000000000000001,0.683333333333333,0.4422166387140533,0.5,0.5,0.6966666666666667,0.4127011294171877,0.6049999999999999,0.4696363841668716
27,0.5499999999999997,0.4582575694955839,0.7499999999999997,0.39999999999999997,0.5666666666666667,0.4955356249106168,0.49833333333333313,0.48312926726590344,0.5966666666666665,0.45733527696379983
28,0.5833333333333333,0.4422166387140533,0.5499999999999997,0.4898979485566356,0.4666666666666667,0.4988876515698589,0.5599999999999998,0.48689492364027237,0.6799999999999998,0.414447423283903
29,0.6166666666666666,0.4229525846816505,0.6499999999999998,0.45825756949558394,0.4666666666666667,0.498887651569859,0.5433333333333331,0.49104197602875277,0.5983333333333332,0.4617869879308231
30,0.6166666666666666,0.4229525846816506,0.5833333333333331,0.4818944098266985,0.4666666666666667,0.498887651569859,0.5466666666666665,0.46564173161586603,0.615,0.4500277769204919
31,0.7166666666666668,0.3399346342395191,0.7166666666666663,0.42295258468165087,0.3333333333333333,0.4714045207910317,0.43833333333333313,0.4886517733064678,0.5599999999999998,0.4637528077183648
32,0.7166666666666668,0.33993463423951914,0.5499999999999997,0.4898979485566356,0.4666666666666667,0.498887651569859,0.47666666666666646,0.47218169760755824,0.5683333333333332,0.48793499111618915
33,0.5166666666666664,0.47140452079103173,0.5833333333333331,0.4818944098266985,0.6333333333333333,0.48189440982669857,0.61,0.4633932814935206,0.5583333333333332,0.4597251594400966
34,0.6166666666666666,0.42295258468165065,0.7166666666666663,0.4229525846816507,0.4666666666666667,0.498887651569859,0.5399999999999998,0.48860345202764704,0.5949999999999999,0.45595138629756
35,0.5499999999999999,0.45825756949558394,0.48333333333333306,0.498887651569859,0.5,0.5,0.5683333333333332,0.47107737038504505,0.7200000000000001,0.38999999999999996
36,0.48333333333333317,0.4818944098266985,0.7499999999999997,0.39999999999999997,0.4,0.48989794855663577,0.7133333333333334,0.39049825721619924,0.6199999999999999,0.4465795935030321
37,0.5833333333333333,0.44221663871405337,0.5833333333333329,0.48189440982669873,0.6,0.4898979485566357,0.3483333333333332,0.5004137177265315,0.6866666666666668,0.415117118681249
38,0.6500000000000001,0.4000000000000001,0.7166666666666663,0.42295258468165076,0.6666666666666666,0.47140452079103157,0.4099999999999999,0.49251057518257074,0.6849999999999999,0.39689419244932267
39,0.5166666666666664,0.47140452079103173,0.683333333333333,0.44221663871405337,0.5333333333333333,0.498887651569859,0.6916666666666665,0.42191692178542545,0.5099999999999998,0.47406047434196963
40,0.5166666666666665,0.4714045207910319,0.683333333333333,0.4422166387140534,0.6666666666666666,0.4714045207910316,0.6116666666666665,0.4510512412378689,0.48833333333333323,0.49137279353075924
41,0.6500000000000001,0.4000000000000001,0.7499999999999997,0.39999999999999997,0.7,0.4582575694955839,0.6966666666666667,0.396218233917735,0.5833333333333333,0.48344826219795456
42,0.5833333333333333,0.44221663871405337,0.683333333333333,0.4422166387140534,0.5333333333333333,0.498887651569859,0.5816666666666666,0.46716937209348636,0.6866666666666664,0.4028923208777034
43,0.5166666666666664,0.47140452079103173,0.683333333333333,0.4422166387140533,0.6,0.4898979485566357,0.6916666666666667,0.3981380274338146,0.5783333333333331,0.4437873614944686
44,0.6833333333333335,0.3726779962499649,0.683333333333333,0.4422166387140534,0.5666666666666667,0.49553562491061676,0.5983333333333332,0.47652970060171007,0.6099999999999999,0.45394566488365834
45,0.5166666666666664,0.47140452079103173,0.7833333333333329,0.3726779962499649,0.5333333333333333,0.4988876515698589,0.5316666666666664,0.4751286375522131,0.4933333333333332,0.49239776152573594
46,0.65,0.4000000000000001,0.7166666666666663,0.42295258468165076,0.6,0.48989794855663577,0.5966666666666665,0.4547771126851287,0.6283333333333333,0.4352553528932439
47,0.65,0.4000000000000001,0.7166666666666663,0.42295258468165076,0.5,0.5,0.5933333333333332,0.4551068250666234,0.6316666666666666,0.4428098413038667
48,0.65,0.4000000000000001,0.5166666666666665,0.4955356249106168,0.5333333333333333,0.49888765156985887,0.6366666666666665,0.4391152721350309,0.6766666666666665,0.42006613235960305
49,0.65,0.4000000000000001,0.8166666666666662,0.33993463423951903,0.5333333333333333,0.4988876515698589,0.6299999999999998,0.4371498598878879,0.5916666666666667,0.46459360975181546
50,0.5499999999999997,0.4582575694955839,0.7166666666666663,0.4229525846816508,0.5666666666666667,0.49553562491061676,0.6166666666666665,0.4699881795203886,0.735,0.36881567211820054
51,0.65,0.4000000000000001,0.6166666666666665,0.47140452079103184,0.7333333333333333,0.4422166387140534,0.6833333333333333,0.43862157822990067,0.775,0.357945526581909
52,0.5499999999999997,0.4582575694955839,0.6166666666666665,0.4714045207910319,0.7333333333333333,0.4422166387140534,0.5999999999999999,0.46314144707637644,0.6566666666666667,0.42597600349732795
53,0.5833333333333333,0.44221663871405337,0.5499999999999997,0.48989794855663554,0.4,0.4898979485566357,0.573333333333333,0.4737674065990142,0.5516666666666664,0.4680604187020683
54,0.5166666666666664,0.47140452079103173,0.6166666666666664,0.4714045207910317,0.5333333333333333,0.49888765156985887,0.5716666666666665,0.46987291426039407,0.4866666666666664,0.5059534453770316
55,0.65,0.4000000000000001,0.683333333333333,0.4422166387140534,0.43333333333333335,0.4955356249106168,0.6266666666666665,0.48144458548091373,0.5033333333333332,0.4927699485786672
56,0.6500000000000001,0.4,0.5833333333333329,0.48189440982669873,0.6333333333333333,0.48189440982669857,0.5616666666666664,0.47040467212343406,0.7066666666666668,0.3944898252454963
57,0.6833333333333336,0.3726779962499649,0.5833333333333331,0.4818944098266985,0.7,0.45825756949558394,0.6633333333333333,0.4460817065167422,0.6566666666666665,0.4451092250473159
58,0.5833333333333331,0.44221663871405337,0.6166666666666664,0.4714045207910317,0.6333333333333333,0.48189440982669857,0.6199999999999999,0.4561797891182818,0.6949999999999998,0.4103555369026554
59,0.5166666666666665,0.4714045207910319,0.6166666666666664,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.5533333333333331,0.4821710162264929,0.588333333333333,0.4465951435273588
60,0.6833333333333335,0.3726779962499649,0.6166666666666664,0.47140452079103173,0.6,0.4898979485566357,0.6749999999999999,0.4373690280148636,0.5899999999999999,0.47335680692968446
61,0.6833333333333335,0.3726779962499649,0.6166666666666665,0.47140452079103184,0.5666666666666667,0.49553562491061676,0.5266666666666665,0.48934196177678807,0.68,0.40632499307820086
